sex,age,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18,female19,female20,male21,male22,male23,male24,male25,male26,male27,male28,male29,male30,male31,male32,male33,male34,male35,male36,male37,male38,male39,male40,sra
female,17.6,6,5,5,5,6,3,4,4,4,6,5,4,5,6,6,3,4,1,4,5,3,3,3,3,2,3,3,3,1,3,4,2,2,3,1,1,3,3,3,4,6
female,17.2,5,5,6,3,6,6,7,5,7,6,2,6,5,6,6,6,5,2,5,6,3,0,1,2,1,3,2,4,1,3,1,1,3,1,3,0,1,2,2,2,4
female,26.3,4,5,4,4,5,4,4,4,4,5,4,4,6,5,5,5,6,6,6,5,4,3,3,4,4,3,3,4,2,4,5,3,3,3,5,3,2,4,3,3,7
female,22.5,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,3,4,4,3,5,3,4,4,5,4,3,4,3,3,3,5,4,3,5,4,5,5
female,21.0,5,5,5,4,5,4,5,4,5,4,5,3,4,4,4,4,5,4,4,3,3,2,3,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,2,2,7
female,23.2,7,6,6,4,4,3,4,6,6,5,4,4,5,5,6,4,4,5,4,6,5,5,2,6,7,2,5,4,5,4,6,3,3,4,1,2,3,4,5,4,5
female,18.7,5,4,4,4,5,4,5,4,4,5,4,6,5,6,5,5,7,5,5,4,4,2,5,2,4,2,3,3,6,2,4,4,3,3,3,1,2,4,6,5,5
female,25.8,6,5,4,4,6,4,5,4,5,5,6,3,4,6,4,5,6,4,4,3,7,4,4,4,6,3,3,4,3,2,4,2,4,5,4,3,2,6,4,4,4
female,21.9,4,6,6,5,6,4,5,4,6,4,7,4,4,6,5,4,5,5,6,4,4,4,3,4,6,3,4,2,1,2,4,1,4,3,3,2,2,4,2,5,4
female,18.9,6,6,4,4,6,5,5,4,5,4,6,5,3,6,6,4,6,4,5,6,4,5,3,4,5,3,4,3,3,6,5,5,4,4,4,2,2,4,4,5,4
female,24.6,4,6,6,6,5,4,6,6,5,5,6,3,6,7,6,3,5,3,7,6,7,5,5,5,6,5,0,5,4,2,6,1,1,5,6,1,1,5,3,6,5
female,20.2,4,5,4,5,5,5,4,4,4,5,5,4,4,4,4,4,4,5,5,4,5,2,3,4,3,2,2,4,3,1,6,3,4,6,4,4,3,4,5,4,5
female,27.3,5,6,6,4,7,4,3,5,7,5,5,2,5,5,5,4,6,1,5,7,3,2,2,5,0,5,2,0,1,1,5,2,3,3,2,2,2,1,5,1,5
female,18.9,6,5,5,4,5,4,4,5,6,6,6,4,5,6,5,5,5,3,5,5,4,5,1,4,5,5,4,4,4,5,5,6,3,4,4,5,5,5,4,6,6
female,17.3,4,4,4,4,3,4,4,4,4,4,4,3,5,4,3,3,4,3,3,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,2,4,5,4,4,2
female,27.4,6,4,6,5,6,4,4,6,6,4,4,6,4,6,6,5,4,6,4,4,2,5,5,5,5,2,4,4,6,3,6,1,1,7,4,1,3,6,5,5,5
female,19.9,6,4,5,4,4,5,4,5,6,5,5,1,4,5,4,3,6,6,5,4,4,2,3,6,2,6,4,3,4,1,4,0,3,3,2,1,1,4,4,4,6
female,24.5,5,4,5,3,4,5,4,2,5,3,4,4,4,5,4,5,1,3,5,4,4,3,2,4,5,2,3,3,4,3,2,1,3,4,4,1,2,4,5,2,6
female,18.6,7,7,7,7,7,7,7,7,7,6,7,4,7,7,7,6,7,7,7,7,7,4,1,5,7,1,4,6,0,1,4,7,7,6,7,0,7,3,7,5,4
female,19.4,6,5,6,3,4,5,5,4,4,3,5,3,6,4,4,4,5,4,5,5,6,4,3,4,3,5,5,3,2,3,5,3,5,5,3,2,3,5,5,3,4
female,22.0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6,4,5,4,4,4,4,4,3,6,3,3,3,3,3,2,5,1,3,3,4,3,1,4,3,4,5
female,24.6,7,4,6,4,6,4,4,4,5,6,5,3,4,6,6,4,4,6,5,2,4,5,3,2,4,4,4,5,5,3,6,1,1,3,5,2,2,4,4,2,5
female,23.9,6,5,6,7,5,5,4,6,6,5,5,4,4,7,7,5,7,3,5,5,4,3,3,5,5,3,2,4,5,1,5,3,4,4,4,1,4,7,5,5,7
female,16.3,5,5,4,4,4,3,4,4,6,4,5,4,4,4,5,4,4,5,5,5,4,4,2,4,4,3,3,5,4,4,4,3,4,4,4,2,2,4,4,4,6
female,24.9,5,4,4,5,5,4,4,4,5,5,4,4,4,4,5,5,4,4,5,4,4,5,3,5,5,1,4,4,6,3,4,4,4,4,4,2,3,5,2,4,6
female,23.9,5,5,6,4,5,4,4,4,4,5,5,2,5,5,5,4,6,4,5,4,3,4,4,4,3,3,4,4,3,3,3,3,3,3,4,3,2,3,4,4,5
